repeat_id,model,auc
1,LASSO,0.835227272727273
1,RF,0.761363636363636
1,SVM,0.761363636363636
2,LASSO,0.875
2,RF,0.852272727272727
2,SVM,0.806818181818182
3,LASSO,0.857954545454545
3,RF,0.846590909090909
3,SVM,0.75
4,LASSO,0.789772727272727
4,RF,0.795454545454545
4,SVM,0.761363636363636
5,LASSO,0.875
5,RF,0.835227272727273
5,SVM,0.818181818181818
6,LASSO,0.8125
6,RF,0.846590909090909
6,SVM,0.789772727272727
7,LASSO,0.857954545454546
7,RF,0.835227272727273
7,SVM,0.795454545454545
8,LASSO,0.789772727272727
8,RF,0.823863636363636
8,SVM,0.778409090909091
9,LASSO,0.772727272727273
9,RF,0.789772727272727
9,SVM,0.784090909090909
10,LASSO,0.857954545454545
10,RF,0.857954545454546
10,SVM,0.835227272727273
11,LASSO,0.784090909090909
11,RF,0.784090909090909
11,SVM,0.738636363636364
12,LASSO,0.869318181818182
12,RF,0.857954545454546
12,SVM,0.767045454545455
13,LASSO,0.840909090909091
13,RF,0.829545454545455
13,SVM,0.715909090909091
14,LASSO,0.869318181818182
14,RF,0.846590909090909
14,SVM,0.8125
15,LASSO,0.789772727272727
15,RF,0.772727272727273
15,SVM,0.772727272727273
16,LASSO,0.869318181818182
16,RF,0.818181818181818
16,SVM,0.738636363636364
17,LASSO,0.795454545454545
17,RF,0.806818181818182
17,SVM,0.596590909090909
18,LASSO,0.75
18,RF,0.801136363636364
18,SVM,0.738636363636364
19,LASSO,0.835227272727273
19,RF,0.852272727272727
19,SVM,0.767045454545455
20,LASSO,0.857954545454546
20,RF,0.846590909090909
20,SVM,0.710227272727273
