GSM,dataset,title,condition,group3,pca_dist,flag_pca,Zk,flag_zk,RLE_median,RLE_IQR,NUSE_median,flag_array,n_flags
GSM1585585,GSE64998,T2D-obese1,T2D,ObeseT2D,4.75718038211094,FALSE,0.607128262353163,FALSE,0,0.243251259785888,0.998736906892296,FALSE,0
GSM1585586,GSE64998,T2D-obese2,T2D,ObeseT2D,18.8163157990002,FALSE,0.0896787800357838,FALSE,0,0.228615562240274,0.997837547882153,FALSE,0
GSM1585587,GSE64998,T2D-obese3,T2D,ObeseT2D,9.08703767120725,FALSE,1.00287774148511,FALSE,0,0.216701668009124,1,FALSE,0
GSM1585588,GSE64998,T2D-obese4,T2D,ObeseT2D,11.2682339980822,FALSE,1.04962400096308,FALSE,0,0.230251457136839,1,FALSE,0
GSM1585589,GSE64998,T2D-obese5,T2D,ObeseT2D,21.9185009725029,FALSE,-0.0847677029123102,FALSE,0.0047215315493867,0.223312146843432,1,FALSE,0
GSM1585590,GSE64998,T2D-obese6,T2D,ObeseT2D,14.9034288870448,FALSE,0.657339013543565,FALSE,0,0.230244959660678,1,FALSE,0
GSM1585591,GSE64998,T2D-obese7,T2D,ObeseT2D,17.781511996904,FALSE,0.440812932438822,FALSE,0,0.278903526283524,1.00367698019924,FALSE,0
GSM1585592,GSE64998,non-obese1,Control,Lean,17.4227444357963,FALSE,-0.0296470356631687,FALSE,0,0.281507813540929,1.01465999652769,FALSE,0
GSM1585593,GSE64998,non-obese2,Control,Lean,6.39257458942872,FALSE,0.727988028515902,FALSE,0,0.232287858548918,1.0019626030366,FALSE,0
GSM1585594,GSE64998,non-obese3,Control,Lean,17.23297928929,FALSE,-0.107998572408646,FALSE,0,0.27022308364746,1.00261966300792,FALSE,0
GSM1585595,GSE64998,non-obese4,Control,Lean,13.2820933695197,FALSE,0.526158560767141,FALSE,0,0.22052490434798,0.996650657899936,FALSE,0
GSM1585596,GSE64998,non-obese5,Control,Lean,12.6625456714293,FALSE,-0.340161557391398,FALSE,0,0.278944107633637,1.00455325916038,FALSE,0
GSM1585597,GSE64998,non-obese6,Control,Lean,6.75543767072661,FALSE,1.1402453977643,FALSE,0,0.198746233157137,0.992136035436072,FALSE,0
GSM391693,GSE15653,Liver_Lean_rep1,Control,Lean,16.9871144641112,FALSE,0.964105878360111,FALSE,0.000787588730247535,0.228208337321366,0.988996534658822,FALSE,0
GSM391694,GSE15653,Liver_Lean_rep2,Control,Lean,24.9567210158524,FALSE,-0.0184187890681782,FALSE,-0.0112633987486879,0.275699443984018,0.994647403206612,FALSE,0
GSM391695,GSE15653,Liver_Lean_rep3,Control,Lean,25.501307938129,FALSE,-0.218160871999297,FALSE,-0.0126215566363275,0.274507707837885,0.999157294183334,FALSE,0
GSM391696,GSE15653,Liver_Lean_rep4,Control,Lean,21.5538283908216,FALSE,0.00749609045102463,FALSE,0.0187350117395386,0.291088792838459,1.00100243346093,FALSE,0
GSM391697,GSE15653,Liver_Lean_rep5,Control,Lean,23.7986984691709,FALSE,-0.296105525971385,FALSE,0.00683219466854901,0.289952174960341,1.00114262202215,FALSE,0
GSM391702,GSE15653,Liver_Obese_DM_well-controlled_rep1,T2D,ObeseT2D,16.7633058935122,FALSE,0.00742116780816402,FALSE,0.0096421007089269,0.295821673468135,1.00241592321242,FALSE,0
GSM391703,GSE15653,Liver_Obese_DM_well-controlled_rep2,T2D,ObeseT2D,36.1987934143102,FALSE,-2.61840390463029,TRUE,-0.00737343739476426,0.46835972440822,1.01733209292458,FALSE,1
GSM391704,GSE15653,Liver_Obese_DM_well-controlled_rep3,T2D,ObeseT2D,37.5831665984262,FALSE,-2.96917951798011,TRUE,0.00563328295613186,0.437247403072997,1.0078796693543,FALSE,1
GSM391705,GSE15653,Liver_Obese_DM_well-controlled_rep4,T2D,ObeseT2D,20.8449917388264,FALSE,0.795027667130607,FALSE,0.00602962358598713,0.248978277508528,0.994699350797965,FALSE,0
GSM391706,GSE15653,Liver_Obese_DM_well-controlled_rep5,T2D,ObeseT2D,33.169098713888,FALSE,-0.903932266677528,FALSE,0.0194330667588591,0.360616308656389,1.01501276513604,FALSE,0
GSM391707,GSE15653,Liver_Obese_DM_poorly-controlled_rep1,T2D,ObeseT2D,27.5014669630903,FALSE,-0.927312295790723,FALSE,-0.0221802237713291,0.387170995044306,1.00147992274849,FALSE,0
GSM391708,GSE15653,Liver_Obese_DM_poorly-controlled_rep2,T2D,ObeseT2D,25.2979782052908,FALSE,-0.838531002036653,FALSE,-0.0131632642979653,0.340077941066229,1.00163451130944,FALSE,0
GSM391709,GSE15653,Liver_Obese_DM_poorly-controlled_rep3,T2D,ObeseT2D,12.2560700008943,FALSE,0.71397912252019,FALSE,-0.00982366433523918,0.246947451462459,0.989972008791493,FALSE,0
GSM391710,GSE15653,Liver_Obese_DM_poorly-controlled_rep4,T2D,ObeseT2D,7.14687991625943,FALSE,0.622736398392707,FALSE,0.00523425945142808,0.247678990634645,0.994934357236507,FALSE,0
