gene,GSM391693,GSM391694,GSM391695,GSM391696,GSM391697,GSM391702,GSM391703,GSM391704,GSM391705,GSM391706,GSM391707,GSM391708,GSM391709,GSM391710,GSM1585585,GSM1585586,GSM1585587,GSM1585588,GSM1585589,GSM1585590,GSM1585591,GSM1585592,GSM1585593,GSM1585594,GSM1585595,GSM1585596,GSM1585597
A1CF,11.2099274963486,11.3282942279556,11.2613996533139,11.0764169020662,10.9492782025022,11.3972986997817,10.8246369790454,10.4217452457256,11.2339952866544,11.0613864132328,11.2440963453181,11.1006085644454,10.960704827247,11.0814756505563,11.3206211567507,10.9592748082974,10.9257802021757,11.0611550761411,11.2061154774152,10.9982771782039,10.8823960208903,11.2257077523858,11.1734141444214,11.124186534446,11.2881542139653,10.9014949917166,11.2018975824566
A2M,11.1547039832746,11.5536561153061,11.8963030148274,11.0175133058778,11.7060533691812,11.5307938399201,11.3437022505998,11.3050849766333,11.881394733553,11.7748638184619,10.8781268886378,11.3530491342307,11.7357834648464,11.8350702985318,11.9233612479746,11.6985080822141,11.3493439679642,11.4562772488258,10.7892411054278,12.2699911738154,11.5172608625301,11.6330646424561,10.8393200017659,11.9171453241089,11.0588948989926,11.2788741479552,11.6040147949285
A4GALT,4.96439261101438,4.86224823275492,4.77606422378656,4.42283373123814,4.72446655267183,5.03848745535139,5.15701464785081,4.90196856976576,4.70141763597635,4.26768524946691,5.19671698077932,5.23773823356211,4.8913357681348,5.08875311587297,4.51151207560018,5.08248245564561,4.98659276290064,4.84862307545377,4.84862307545377,5.10167286498264,4.81352952399327,4.88358553359249,4.93887324747829,4.51124964901584,4.69808309649671,5.26032776327081,4.61143681891295
A4GNT,4.27253431067722,4.32009531885933,4.41926254777106,4.54823430809992,4.57492720826122,4.47166067696587,4.23291860056009,4.22864198925995,4.33544839815987,4.52483618233625,4.3096427367532,4.38837447877827,4.23134100928684,4.30052827486245,4.33762880253102,4.7049062001889,3.98401700425074,4.05961512198504,4.33762880253102,4.29624760320941,4.3506696532407,4.68823326243545,4.35595722424943,4.35595722424943,4.32496738529453,4.5394346536293,4.57984760879966
AAAS,7.56500399014311,7.36941535618385,7.54664459399859,7.53244929104321,7.52355263235567,7.72706909075092,7.88822329752094,7.722527994154,7.43447620433927,7.43650867619566,7.96681777297052,7.81458436690923,7.62553716324914,7.85439850791396,7.71856260415583,7.63734546430788,7.59423746180567,7.58756813458288,7.73146553536465,7.65209488885,7.46003397500344,7.47511537463744,7.83073586649037,7.54311253218411,7.54658774114848,7.74025994222663,7.66690971672911
AACS,5.48999827372332,5.56267193571935,5.5563142482235,5.58317191557308,5.39888258798288,5.82073165790128,5.64060429430525,5.51124600883586,5.36315911527207,5.29434699115793,5.63693683060997,5.61609703158581,5.47201107351966,5.28167391213479,5.8815240633173,5.53731263800984,5.36164515238086,5.78692480885356,5.95439380369769,5.87107970319932,5.33376609779251,4.84012055474815,5.48362280708025,5.68878917236438,5.06981275726227,5.19417189115005,5.44877341494197
AADAC,10.3715885608844,10.2913046865165,10.2736084826551,10.1081433702639,9.634391458653,10.0759999952194,9.97858203106875,9.82188335813275,10.1034804574326,9.74030457358436,10.0407051190612,9.8790444272214,10.1960267689309,10.6634290603072,10.6212581329946,9.84349045193164,9.99846360916673,10.1698542966562,9.6816696253763,9.93589074265833,10.0568702713099,10.4210601388067,10.0642883030901,10.181983720956,10.0366499276678,10.0642883030901,10.1775835496831
AAGAB,6.30877145587151,6.1857475590275,6.0801001405385,6.18532563924071,6.28722482937238,6.37449521522323,6.45475244262557,6.26533418945918,6.36289390289336,6.07693918468077,5.99649377996665,6.38665475936544,6.2848353622627,6.31557007732708,6.22667023883,6.73457146350307,6.14913999045683,6.39368837269485,6.46882504255938,6.31988228799771,6.22667023883,6.01590515071576,6.00007113913385,6.27171725020938,6.06404217282178,6.0065049580254,6.15506120021486
AAK1,7.2867592038417,6.96780104919692,7.07908623813606,7.24207199636758,7.18440553079078,7.4082724544444,7.20817439819697,7.16948786713047,7.1694152167468,7.3347750023835,7.24240896224113,7.17280534685114,7.11655278664675,7.35840591319843,7.16420250218169,7.40365177542156,7.35734410131833,6.9844951426152,7.1323546914181,7.22207773476646,7.27412039919783,7.0054035703135,7.2847582255803,7.33437892243445,7.02830666353509,7.37930843227589,7.09536819701142
AAMDC,6.84415998034101,6.93390479802978,6.74140691894122,6.56680897899517,6.65227594452523,6.92879653023122,6.7500115623201,6.63662415751066,6.8315200800082,6.56567638554442,6.70098564970587,6.78144805365069,6.59375678651722,6.62007261121006,6.6507472317036,6.73305211222455,6.72362802354549,6.82367963047727,6.77377090199328,6.37757045970542,6.45558174873418,6.90075572473978,6.7962477409132,6.92612758817907,6.94198467856921,6.57502369619131,6.86028011221823
AAMP,7.51802059389799,7.5458075969314,7.20836226707662,7.45529666549455,7.19152270686182,7.97655774017902,8.2946130255061,8.28323513701697,7.33929898596502,7.31522712483066,8.24617296951789,8.03250392977403,7.86222320653666,8.07684853679883,7.55126099852937,7.64835569989434,7.71381371470205,7.92021613397001,7.70831255602352,7.72085672548201,7.73305079341652,7.48276213524361,7.76448087821767,7.78546567779565,8.18746830239757,7.36808643142018,7.5553758474442
AANAT,3.82250236730563,3.74652357649406,3.74245129059016,3.95687272287499,3.93985878133763,3.8712025560238,4.07668258243081,4.02478248275456,3.74458325208826,3.86251892363354,3.66842319012687,3.83220011946512,3.54262728889829,3.83041783497671,3.7394673460546,3.73749252994281,3.55228781233409,3.79160257575319,3.73048462691092,3.77400102408828,3.80276391806107,4.10630171609208,3.87506765371614,3.74836110450504,4.19793865383672,3.75083931410017,4.17925644049243
