ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0048009,insulin-like growth factor receptor signaling pathway,4/8,40/11209,0.1,140.1125,23.5542706843403,9.63168822424417e-09,6.68439162762545e-06,3.0618629933913e-06,IRS2/IGFBP1/IGFBP2/IGF1,4
BP,GO:0043567,regulation of insulin-like growth factor receptor signaling pathway,3/8,17/11209,0.176470588235294,247.257352941177,27.1544163632357,1.61520693851522e-07,5.60476807664783e-05,2.5673289233242e-05,IGFBP1/IGFBP2/IGF1,3
BP,GO:0062013,positive regulation of small molecule metabolic process,4/8,125/11209,0.032,44.836,13.1709870342951,9.96766857223069e-07,0.000203384477124691,9.31626150336065e-05,SREBF2/IRS2/PPARGC1A/IGF1,4
BP,GO:0010907,positive regulation of glucose metabolic process,3/8,32/11209,0.09375,131.35546875,19.7343249618155,1.17224482492617e-06,0.000203384477124691,9.31626150336065e-05,IRS2/PPARGC1A/IGF1,3
BP,GO:0045913,positive regulation of carbohydrate metabolic process,3/8,62/11209,0.0483870967741936,67.7963709677419,14.0945225306704,8.84887644351749e-06,0.00112563594397462,0.000515610579524244,IRS2/PPARGC1A/IGF1,3
BP,GO:0010906,regulation of glucose metabolic process,3/8,64/11209,0.046875,65.677734375,13.867092260511,9.74172811571501e-06,0.00112563594397462,0.000515610579524244,IRS2/PPARGC1A/IGF1,3
BP,GO:0043255,regulation of carbohydrate biosynthetic process,3/8,70/11209,0.0428571428571429,60.0482142857143,13.2438222233995,1.27733546347592e-05,0.00112563594397462,0.000515610579524244,IRS2/PPARGC1A/IGF1,3
BP,GO:0062012,regulation of small molecule metabolic process,4/8,238/11209,0.0168067226890756,23.5483193277311,9.39637203468353,1.29756304780936e-05,0.00112563594397462,0.000515610579524244,SREBF2/IRS2/PPARGC1A/IGF1,4
BP,GO:0045725,positive regulation of glycogen biosynthetic process,2/8,11/11209,0.181818181818182,254.75,22.5015698332507,2.44376970769102e-05,0.00188441797459729,0.000863179475699048,IRS2/IGF1,2
BP,GO:0050671,positive regulation of lymphocyte proliferation,3/8,93/11209,0.032258064516129,45.1975806451613,11.4379016570194,3.00472729699473e-05,0.00195754749902086,0.000896677301235099,IRS2/IGFBP2/IGF1,3
BP,GO:0032946,positive regulation of mononuclear cell proliferation,3/8,94/11209,0.0319148936170213,44.7167553191489,11.3746428757824,3.10274099268436e-05,0.00195754749902086,0.000896677301235099,IRS2/IGFBP2/IGF1,3
BP,GO:0046321,positive regulation of fatty acid oxidation,2/8,13/11209,0.153846153846154,215.557692307692,20.6854501695323,3.46323572523938e-05,0.00200218960986939,0.000917126137085631,IRS2/PPARGC1A,2
BP,GO:0008286,insulin receptor signaling pathway,3/8,101/11209,0.0297029702970297,41.6175742574257,10.9581537732272,3.84840934873352e-05,0.00200218960986939,0.000917126137085631,IRS2/IGFBP1/IGF1,3
BP,GO:0070875,positive regulation of glycogen metabolic process,2/8,14/11209,0.142857142857143,200.160714285714,19.9267421032986,4.03899921299301e-05,0.00200218960986939,0.000917126137085631,IRS2/IGF1,2
BP,GO:0070665,positive regulation of leukocyte proliferation,3/8,108/11209,0.0277777777777778,38.9201388888889,10.5823324685738,4.70343925434888e-05,0.00217612456167875,0.000996799056009375,IRS2/IGFBP2/IGF1,3
BP,GO:0045834,positive regulation of lipid metabolic process,3/8,113/11209,0.0265486725663717,37.1980088495575,10.3352583134343,5.38506534325663e-05,0.00225702960649862,0.00103385854870709,SREBF2/IRS2/PPARGC1A,3
BP,GO:0031099,regeneration,3/8,114/11209,0.0263157894736842,36.8717105263158,10.2877763576751,5.52874687470844e-05,0.00225702960649862,0.00103385854870709,CCND1/IGFBP1/IGF1,3
BP,GO:0042104,positive regulation of activated T cell proliferation,2/8,18/11209,0.111111111111111,155.680555555556,17.5516594545853,6.78115196541446e-05,0.00253376283343819,0.00116061940800596,IGFBP2/IGF1,2
BP,GO:0006109,regulation of carbohydrate metabolic process,3/8,123/11209,0.024390243902439,34.1737804878049,9.88645835248401,6.93681467367803e-05,0.00253376283343819,0.00116061940800596,IRS2/PPARGC1A/IGF1,3
BP,GO:0006006,glucose metabolic process,3/8,130/11209,0.0230769230769231,32.3336538461538,9.60313628517043,8.18142887424573e-05,0.00265455819782357,0.00121595112352907,IRS2/PPARGC1A/IGF1,3
BP,GO:0005979,regulation of glycogen biosynthetic process,2/8,20/11209,0.1,140.1125,16.6404923702759,8.41502598733696e-05,0.00265455819782357,0.00121595112352907,IRS2/IGF1,2
BP,GO:0010962,regulation of glucan biosynthetic process,2/8,20/11209,0.1,140.1125,16.6404923702759,8.41502598733696e-05,0.00265455819782357,0.00121595112352907,IRS2/IGF1,2
BP,GO:0031667,response to nutrient levels,4/8,388/11209,0.0103092783505155,14.444587628866,7.20294844648254,8.86018697513493e-05,0.0026734651133668,0.00122461165514451,SREBF2/CCND1/PPARGC1A/IGFBP2,4
BP,GO:0046326,positive regulation of D-glucose import across plasma membrane,2/8,23/11209,0.0869565217391304,121.836956521739,15.5026857917385,0.000111932725187498,0.00320809961998446,0.00146950718221645,IRS2/IGF1,2
BP,GO:0016051,carbohydrate biosynthetic process,3/8,146/11209,0.0205479452054795,28.7902397260274,9.03260296384392,0.000115565548270334,0.00320809961998446,0.00146950718221645,IRS2/PPARGC1A/IGF1,3
BP,GO:0070873,regulation of glycogen metabolic process,2/8,24/11209,0.0833333333333333,116.760416666667,15.1714944993122,0.000122064824240435,0.00325819184703315,0.00149245250690734,IRS2/IGF1,2
