gene,GSM391693,GSM391694,GSM391695,GSM391696,GSM391697,GSM391698,GSM391699,GSM391700,GSM391701,GSM391702,GSM391703,GSM391704,GSM391705,GSM391706,GSM391707,GSM391708,GSM391709,GSM391710,GSM1585577,GSM1585578,GSM1585579,GSM1585580,GSM1585581,GSM1585582,GSM1585583,GSM1585584,GSM1585585,GSM1585586,GSM1585587,GSM1585588,GSM1585589,GSM1585590,GSM1585591,GSM1585592,GSM1585593,GSM1585594,GSM1585595,GSM1585596,GSM1585597
A1CF,11.2295897280421,11.369507626935,11.2886553280353,11.1238415964597,11.0173173840682,11.5376835006253,11.0213779659266,11.2148547415759,10.8741817491151,11.4330863154805,10.8901497494476,10.5096180845141,11.2776100951439,11.0980548642113,11.2845913213098,11.1436827496594,10.984295901286,11.1249351110202,11.1998142876093,11.1779021555844,11.2038518049285,11.1012941279694,11.1574569045487,11.262287026306,11.089844345298,11.364549954643,11.3673509866447,10.9749261712775,10.9265044849454,11.0937151295137,11.2858410767335,10.9898259913307,10.8659722424774,11.2889410966568,11.2799488537179,11.1860907730236,11.3142462084948,10.9234384097941,11.2067210005339
A2M,11.1098412528567,11.5674936997551,11.88432307961,11.0551673585382,11.7081786035964,12.0496883122705,11.6694086690326,10.9291551067619,11.604494006381,11.5210366846842,11.348091191266,11.2855946892289,11.882080703623,11.7641591096424,10.9228879577955,11.3584861633862,11.7591936829726,11.8175587060291,11.9992185203309,11.0438316661885,11.3983631315509,11.0644033492212,11.8741663347828,11.2197974336353,11.6887269535324,11.5077254315533,11.9772692625665,11.7236267018511,11.3741117678491,11.4979470893796,10.7911308660508,12.3154653495007,11.5228155405747,11.6832293274151,10.8622556117348,11.9681287938195,11.0655177190572,11.3010688266945,11.6491980016598
A4GALT,4.83482676517478,4.64622790329462,4.66889709645892,4.267955505361,4.57325325195724,4.99395710259545,4.65942711892729,4.91049287376542,5.12452265090896,4.92039800217625,4.96050224457457,4.74936874039409,4.55172446114788,4.01490438411154,4.98665858087375,4.93808832354124,4.76978961385688,4.95537815998845,4.50515462481517,4.57742488521957,4.78247986996321,4.48529190075844,4.74801710540343,4.58911410331326,4.74801710540343,4.63775739810476,4.29611262570013,5.02006942942693,5.17263207151243,4.78863434822946,4.7679518199417,5.12337949412623,4.57763550439773,4.91955456892216,4.9162239062159,4.51394495723892,4.70097152546302,5.19824198741997,4.40047454182442
A4GNT,4.18834004366473,4.32000236705386,4.36061583149631,4.51968459662102,4.48627747654155,4.22864200022871,4.07789302437921,4.27436410697162,4.50098105191326,4.40552576392518,4.18745798163279,4.1568883235337,4.24584749912015,4.42383377655548,4.16645967598836,4.32144640446703,4.1718118447793,4.27419432146247,4.34520923878041,4.22014066864518,4.18400861228458,4.20531913764761,4.12915294972514,4.38955039576812,4.19300709599006,4.27271134735527,4.25794311822468,4.78944215137922,3.92180896262843,4.01676990555951,4.26423253518701,4.19606505332464,4.37014182460885,4.77587737370419,4.27271134735527,4.23380563933386,4.27271134735527,4.56150672705606,4.45215947334157
AAAS,7.65452723046918,7.49126908306994,7.64894634141513,7.63976104912751,7.60261254713081,7.9600246891514,7.88235814346889,7.6506170840376,7.83490055782789,7.79032792152578,7.95176098374519,7.80421989580316,7.52045365877255,7.52039154197935,8.03136962372423,7.8663950324992,7.64180228933266,7.85977528703866,7.81587746315583,7.64514627234771,7.99814235297114,7.86749921741555,7.74511720261853,7.84540327432679,7.66137549266629,7.74511720261853,7.84186723303822,7.73265367406573,7.69781987322579,7.68601498541745,7.84231820030196,7.71371309906567,7.5442206063068,7.433851772775,7.893910921471,7.60528199569571,7.55713737772735,7.82915208691079,7.74511720261853
AACS,5.40251370378525,5.52097161890226,5.56957697631526,5.53959373992052,5.44611345751357,5.30101890755355,5.37283739436664,5.46322909728517,5.78329361229258,5.65514973580671,5.46064945272833,5.32383874496882,5.27819160740225,5.24719075374002,5.70811177924392,5.63277444850059,5.39939935191133,5.27943297017392,5.47224514052811,5.1332738780563,5.36119111429334,5.40186921026868,5.34428568706571,5.50223150990689,5.59593653618349,5.77970125889827,5.83821670229892,5.51334402881757,5.269456920673,5.74456545912502,5.86713023952875,5.74833353704133,5.21245022572127,4.78023155765862,5.52504242011824,5.62963206957122,4.99892342256913,5.32710850897808,5.38463398883644
AADAC,10.4435405725385,10.3662062832036,10.3594960408672,10.1938763961165,9.71624142830575,10.3184873503584,10.3164786263569,10.5211404591819,9.69640132493138,10.1483820318847,10.0453969580924,9.91746039395879,10.1643493423987,9.83828541978015,10.1060783253146,9.94345549934381,10.2660649193845,10.7231417786884,10.1386354471389,9.87965343296433,10.529183501154,10.5031847540828,10.1115919792553,10.5818465738413,10.5852827551971,10.0364275622882,10.6498854771288,9.85211914163438,10.0432320533845,10.2058046553403,9.75893283831903,9.93089520561147,10.0728298968559,10.4305248265744,10.1510920089386,10.2190151331408,10.0749018184989,10.088777272062,10.2355057974155
AAGAB,6.24907858463954,6.1334666789436,6.01000768523589,6.10302942566598,6.21140533616696,6.07496136390225,5.96421634136109,6.12916886722169,6.63273297545087,6.33410423901144,6.33333444344214,6.19345238260655,6.28236638230818,6.23026809113903,6.05993306660816,6.34672517428716,6.14489836734697,6.35471749337554,6.21704259687586,5.93006204282113,6.3175358980213,6.59393157339262,6.0676761449725,6.23563131818128,6.22685881753988,6.35107032669485,6.17587992328551,6.63324199145444,6.06924070525369,6.26863052016474,6.36233547858297,6.2841158809172,6.18109604080065,5.96496949755992,5.88029506753861,6.20401931475772,6.00781916861866,5.89065716905916,6.07792668706579
AAK1,7.3934006503397,7.00256334838244,7.12262983935598,7.22848955408079,7.17293612411331,7.30307472206729,6.98671601133273,7.22103274675407,7.3937797349005,7.40403529756024,7.24667936843309,7.19640079081218,7.17780123013245,7.30281412338362,7.27523554043787,7.26979748083553,7.08461522999624,7.32566766956985,7.3263297872413,7.40310878370759,7.23217005140391,7.14227164706883,7.20070386904251,7.13955210762933,7.23217005140391,7.27092643842997,7.19975797151284,7.43105469250931,7.4486338865028,6.94873749006276,7.10297880177401,7.24568842941935,7.23326172626063,6.96385647329272,7.31280476674096,7.35739155597807,7.04776446010265,7.41783969909929,7.0573811418925
AAMDC,6.74072266031677,6.90273453316756,6.71842846362881,6.54324168782181,6.63098351431063,7.00521577222419,6.67761265681864,6.7494480413414,6.69139787715331,6.93829826340212,6.73613890752073,6.6145581447504,6.9120422843533,6.57146616577944,6.66981675736995,6.74821745591658,6.58307479169715,6.54841124044942,6.88533465257277,6.67273207111499,6.69946529172267,6.73612825468802,6.74356351470693,6.8528443307357,6.72924640419148,6.51621745538348,6.71044795290532,6.61012843210749,6.81565698529559,6.71095919426634,6.80159206881531,6.32985691949275,6.44401119692982,6.93561988296,6.86515458979513,6.98378739245127,6.91108939834929,6.59446695990337,6.88595964691381
